T	Rhoxx_Dec_2023	Rhoxx_Sept_2024
300.0225	1.53084472E-5	1.079939E-5
300.0192	1.53027878E-5	1.0799385E-5
300.0005	1.53021768E-5	1.07989E-5
299.9556	1.53034226E-5	1.0799505E-5
299.9223	1.52992382E-5	1.079898E-5
299.8917	1.5298222E-5	1.0799065E-5
299.8617	1.5290019E-5	1.0798835E-5
299.8349	1.5288937E-5	1.079868E-5
299.8058	1.52844996E-5	1.0798325E-5
299.7809	1.5277873E-5	1.079803E-5
299.7499	1.527552E-5	1.0797635E-5
299.7184	1.52743876E-5	1.079732E-5
299.6536	1.52721882E-5	1.079714E-5
299.5903	1.52728244E-5	1.079708E-5
299.5169	1.52739942E-5	1.079685E-5
299.4073	1.52739942E-5	1.079608E-5
299.2736	1.52660578E-5	1.0795215E-5
299.0701	1.52615562E-5	1.0794115E-5
298.7941	1.52562394E-5	1.0793435E-5
298.4231	1.52507708E-5	1.079221E-5
298.0008	1.52468548E-5	1.07884E-5
297.4713	1.52413606E-5	1.0784075E-5
296.8929	1.52316316E-5	1.0780395E-5
296.2734	1.5221025E-5	1.077605E-5
295.6217	1.52064248E-5	1.0770845E-5
294.8892	1.5191494E-5	1.0764625E-5
294.1955	1.51847288E-5	1.0759525E-5
293.4163	1.51727736E-5	1.075365E-5
292.6121	1.51602342E-5	1.0746125E-5
291.8525	1.5141946E-5	1.073909E-5
291.0998	1.51302322E-5	1.073169E-5
290.3975	1.51302322E-5	1.072368E-5
289.8981	1.51198178E-5	1.0716645E-5
289.535	1.51110158E-5	1.0709725E-5
289.2614	1.50999398E-5	1.070353E-5
289.0511	1.50917486E-5	1.069743E-5
288.76	1.50834068E-5	1.0693035E-5
288.4196	1.50755212E-5	1.068837E-5
288.023	1.50729522E-5	1.0684655E-5
287.5939	1.50682092E-5	1.0680675E-5
287.1288	1.50553644E-5	1.0675545E-5
286.6297	1.5048775E-5	1.067134E-5
286.1857	1.50439814E-5	1.0666575E-5
285.7678	1.50347858E-5	1.066159E-5
285.3679	1.50266722E-5	1.0651375E-5
284.971	1.5022768E-5	1.0646755E-5
284.5497	1.50177702E-5	1.0641605E-5
284.2045	1.50177702E-5	1.0637155E-5
283.7723	1.50078758E-5	1.063326E-5
283.3649	1.49995074E-5	1.062769E-5
283.0908	1.49928048E-5	1.062416E-5
282.9033	1.49884432E-5	1.062035E-5
282.6956	1.4985302E-5	1.061716E-5
282.3723	1.49792478E-5	1.061417E-5
281.9727	1.49747208E-5	1.0611625E-5
281.487	1.49684384E-5	1.0609265E-5
280.9594	1.49636566E-5	1.0606055E-5
280.3531	1.49579078E-5	1.060249E-5
279.7886	1.4942354E-5	1.059813E-5
279.3851	1.49320782E-5	1.059252E-5
278.9627	1.49261772E-5	1.058791E-5
278.6171	1.49191052E-5	1.0583175E-5
278.2528	1.49185598E-5	1.057911E-5
277.9522	1.49185598E-5	1.0575125E-5
277.6084	1.49155066E-5	1.0570895E-5
277.269	1.49063886E-5	1.056789E-5
276.886	1.4903374E-5	1.0562955E-5
276.5056	1.48956806E-5	1.055973E-5
276.1205	1.4889194E-5	1.0551395E-5
275.6594	1.488197E-5	1.054758E-5
275.144	1.48806348E-5	1.0544115E-5
274.4754	1.4874415E-5	1.053862E-5
273.8063	1.48752674E-5	1.053319E-5
273.0186	1.48674846E-5	1.0527505E-5
272.3746	1.48485988E-5	1.0520245E-5
271.9747	1.4839378E-5	1.0512785E-5
271.7138	1.48293688E-5	1.050666E-5
271.4883	1.4818877E-5	1.0501E-5
271.2431	1.48119972E-5	1.0496925E-5
270.9384	1.48119972E-5	1.049172E-5
270.5657	1.48045182E-5	1.0487825E-5
270.1919	1.48042902E-5	1.048323E-5
269.8027	1.47927552E-5	1.0481075E-5
269.3846	1.47933648E-5	1.0475625E-5
268.9406	1.47865356E-5	1.047187E-5
268.4961	1.47713884E-5	1.0467065E-5
268.0624	1.4776221E-5	1.0462455E-5
267.5985	1.47661104E-5	1.045824E-5
267.1931	1.47568136E-5	1.0453915E-5
266.8103	1.47484198E-5	1.044914E-5
266.4333	1.47448852E-5	1.044464E-5
266.0575	1.47387802E-5	1.0440355E-5
265.664	1.47333116E-5	1.0435945E-5
265.2048	1.47281736E-5	1.042808E-5
264.7809	1.47180632E-5	1.042322E-5
264.334	1.47180632E-5	1.041885E-5
263.8823	1.4709644E-5	1.041478E-5
263.4371	1.47047222E-5	1.04101E-5
263.0068	1.46988332E-5	1.040569E-5
262.6021	1.46904916E-5	1.04006E-5
262.1946	1.46856844E-5	1.039658E-5
261.7855	1.46800756E-5	1.0391765E-5
261.386	1.46742374E-5	1.0387745E-5
260.9752	1.46701932E-5	1.0384205E-5
260.5819	1.46604776E-5	1.0378635E-5
260.1263	1.46536604E-5	1.0374035E-5
259.6915	1.46485478E-5	1.0370195E-5
259.2602	1.46367968E-5	1.0365285E-5
258.8687	1.46344826E-5	1.036049E-5
258.4448	1.46290004E-5	1.035654E-5
258.0222	1.46218032E-5	1.0351435E-5
257.6021	1.46218032E-5	1.034724E-5
257.1923	1.46164998E-5	1.0341985E-5
256.7703	1.46094784E-5	1.033772E-5
256.3573	1.46049008E-5	1.03335E-5
255.9328	1.45995334E-5	1.0328965E-5
255.5085	1.45911024E-5	1.0324405E-5
255.0939	1.4579554E-5	1.0315185E-5
254.6706	1.4572242E-5	1.031077E-5
254.2479	1.45686418E-5	1.030602E-5
253.8808	1.4563492E-5	1.0301385E-5
253.4238	1.45578324E-5	1.0296545E-5
253.0217	1.45472764E-5	1.02921E-5
252.5895	1.4543423E-5	1.02876E-5
252.1782	1.45325616E-5	1.0282915E-5
251.7592	1.45240038E-5	1.0278605E-5
251.3349	1.45170346E-5	1.0274115E-5
250.9258	1.45170346E-5	1.026948E-5
250.5001	1.4511934E-5	1.0265105E-5
250.0874	1.45091488E-5	1.026072E-5
249.6646	1.45026118E-5	1.0256445E-5
249.2544	1.4496991E-5	1.0251515E-5
