T	Rxx_Sept 2024_#2 by Chris
2.0012	0.5326951
1.9989	0.5326951
2.0003	0.5327134
2.0004	0.5327134
1.9988	0.5326995
2.0006	0.5326995
2.0013	0.5326889
1.9994	0.5326889
1.9998	0.5327028
2.0012	0.5327028
1.9994	0.532712
2.0001	0.532712
2.0011	0.5326902
1.9988	0.5326998
2.0003	0.5326998
2.0003	0.5327025
1.9988	0.5327025
2.0008	0.5327099
2.0006	0.5327099
1.9988	0.5326951
2.0007	0.5326951
1.9992	0.5327085
1.9995	0.5327085
2.0009	0.5326992
1.9993	0.5326992
2.0003	0.532693
2.001	0.532693
1.9992	0.5327063
2.0001	0.5326987
2.0009	0.5326987
1.9993	0.5327009
1.9995	0.5327009
2.0007	0.5327025
1.9993	0.5327025
1.9995	0.5326883
2.0009	0.5326883
1.9988	0.532703
1.9999	0.532703
2.001	0.5326935
1.9992	0.5326935
1.9999	0.5326864
2.0007	0.5326864
1.9996	0.5326886
1.9989	0.5326987
2.0006	0.5326987
2.0011	0.5327252
1.9989	0.5327252
2.0003	0.5326894
2.001	0.5326894
1.9989	0.5326954
2.0005	0.5326954
2.0012	0.5327042
1.9984	0.5327042
2.0006	0.5327025
2.0008	0.5327049
1.9997	0.5327049
1.9998	0.5326992
2	0.5326992
2.0001	0.5326889
1.9998	0.5326889
2	0.5327129
2.002	0.5327129
2	0.5326938
1.9991	0.5326938
1.9997	0.5326995
2.0008	0.5326995
1.9997	0.5327181
1.9985	0.5327181
2.0007	0.532702
2.0006	0.5326987
1.999	0.5326987
2.0005	0.5326913
1.9992	0.5326913
1.9996	0.532693
2.0006	0.532693
1.9992	0.5327085
1.9999	0.5327085
2.0009	0.5326968
1.9984	0.5326968
2.0002	0.5327022
2.0009	0.5327022
1.999	0.5326959
2.0002	0.5327099
2.0004	0.5327099
2.0009	0.532699
1.9986	0.532699
2.0001	0.5326965
2.0005	0.5326965
1.9999	0.5326952
1.9999	0.5326952
2.0004	0.5326949
1.9998	0.5326949
1.9993	0.532708
2.0003	0.532708
2.0006	0.532685
1.9995	0.532685
1.9997	0.5326908
2.0003	0.5327148
2.0007	0.5327148
1.999	0.5327072
1.9997	0.5327072
2.0003	0.5327023
2.0006	0.5327023
1.9998	0.5326739
1.9992	0.5326739
2.0001	0.5326992
2.0005	0.5326992
2.0004	0.5327017
1.9986	0.5327017
2	0.5327003
2.0004	0.5327003
2.0004	0.5327003
1.9993	0.5327006
2	0.5327006
2.0003	0.5326965
2.0004	0.5326965
1.9993	0.53269
2	0.53269
2.0002	0.5327205
2.0003	0.5327205
2.0004	0.532708
1.9989	0.532708
1.9999	0.5327055
2.0001	0.5327055
2.0003	0.5327044
2.0004	0.5327047
2.0004	0.5327047
1.9994	0.5326957
2	0.5326957
2.0002	0.5326995
2.0003	0.5326995
1.9984	0.5327022
1.9992	0.5327022
1.9997	0.5326949
1.9999	0.5326949
2	0.5327041
2.0001	0.5327041
2.0001	0.5326799
2.0002	0.5326799
2.0002	0.532702
2.0002	0.5326992
2.0001	0.5326992
2.0001	0.5326995
2.0002	0.5326995
2	0.5327153
2.0002	0.5327153
2.0002	0.5327132
2	0.5327132
2	0.5327112
2.0001	0.5327112
2.0002	0.5327006
1.9991	0.5327006
1.9996	0.5327145
1.9999	0.5327069
1.9998	0.5327069
1.9999	0.5327022
1.9999	0.5327022
2	0.5327052
2	0.5327052
2	0.5327014
2	0.5327014
2	0.5326938
1.9999	0.5326938
2	0.532706
2	0.532706
1.9998	0.5327085
1.9998	0.5327028
1.9998	0.5327028
1.9999	0.5327061
1.9998	0.5327061
1.9999	0.5326971
1.9999	0.5326971
1.9998	0.5326949
1.9998	0.5326949
2.0003	0.5326959
2.0001	0.5326959
2	0.5326949
1.9999	0.5326949
1.9999	0.5326968
1.9998	0.5326968
1.9998	0.5326881
1.9997	0.5327044
2.0006	0.5327044
2.0001	0.5327075
1.9999	0.5327075
1.9998	0.5327077
1.9997	0.5327077
1.9997	0.5327011
2.0009	0.5327011
2.0003	0.5327126
2	0.5327126
1.9997	0.5326902
1.9997	0.5326902
1.9996	0.5327197
2.0005	0.5327115
2.0002	0.5327115
1.9997	0.532699
1.9995	0.532699
2.0007	0.5326859
2.0002	0.5326859
1.9999	0.5327009
1.9996	0.5327009
1.9996	0.5327055
2.0016	0.5327055
2.0002	0.5327137
1.9998	0.5327137
1.9997	0.5327036
1.9995	0.5327036
2.0006	0.5327091
2.0003	0.5327096
1.9998	0.5327096
1.9997	0.5327011
2.0005	0.5327011
2.0004	0.5327099
1.9997	0.5327099
1.9996	0.5327041
1.9995	0.5327041
2.0001	0.5326982
1.9996	0.5326982
1.9996	0.5327063
2.0002	0.5327063
1.9997	0.5327159
1.9995	0.5326971
2.0007	0.5326971
1.9996	0.532703
1.9996	0.532703
2.0013	0.5327139
2.0001	0.5327139
1.9996	0.5327055
1.9995	0.5327055
2.0012	0.5327014
2.0003	0.5327014
1.9997	0.5326987
1.9994	0.5326987
2.0009	0.5327052
2.0006	0.532712
1.9998	0.532712
1.9994	0.5326921
1.9993	0.5326921
2.0016	0.5326892
1.9999	0.5326892
1.9996	0.5327096
1.9994	0.5327096
2.0009	0.5326905
2.0005	0.5326905
1.9996	0.5327091
1.9994	0.5327091
2.0013	0.532708
2.0001	0.532708
1.9994	0.5326867
2.0007	0.5327131
2.0005	0.5327131
1.9997	0.5327023
1.9994	0.5327023
2.0008	0.5327107
2.001	0.5327107
1.9997	0.5326886
1.9994	0.5326886
1.9997	0.5327036
2.0011	0.5327036
1.9998	0.5326943
1.9994	0.5326943
1.9993	0.5326875
2.0009	0.5326908
1.9997	0.5326908
1.9994	0.53269
1.9992	0.53269
2.0007	0.5326954
1.9997	0.5326954
1.9992	0.5327085
2.0016	0.5327085
2	0.5327014
1.9996	0.5327014
1.9991	0.5326979
2.0014	0.5326979
2.0001	0.5326952
1.9994	0.5326952
2.0002	0.532685
2.0009	0.5327063
1.9996	0.5327063
1.9993	0.5326973
2.0014	0.5326973
2.0003	0.532702
1.9997	0.532702
1.9992	0.5326989
2.0002	0.5326989
2.0002	0.5327025
1.9993	0.5327025
1.9997	0.5326859
1.9999	0.5326859
1.9993	0.5327069
2.0003	0.5327069
1.9999	0.5326886
1.9994	0.5326894
2.0008	0.5326894
1.9998	0.5326913
1.9993	0.5326913
2.0009	0.532693
2	0.532693
1.9992	0.5326998
2.0008	0.5326998
1.9998	0.532711
1.9992	0.532711
2.0006	0.532699
1.9999	0.532699
1.9992	0.5326984
2.0009	0.5326976
1.9998	0.5326976
1.9991	0.5327001
2.0008	0.5327001
1.9999	0.5327011
1.9991	0.5327011
2.0009	0.5326979
1.9996	0.5326979
1.999	0.5326965
2.0005	0.5326965
2.0001	0.5327115
1.9991	0.5327115
2.0005	0.5326995
2.0002	0.5326932
1.9993	0.5326932
1.9989	0.5327101
2.0009	0.5327101
1.9994	0.5327033
2.0007	0.5327033
2.0007	0.5327096
1.9994	0.5327096
2	0.5326998
2.0002	0.5326998
1.9991	0.5327036
2.0006	0.5327036
2.0004	0.5327036
1.999	0.5327036
2.0008	0.532694
2.0004	0.532694
1.9992	0.5326968
2.0007	0.5327069
1.9999	0.5327069
1.9991	0.5327006
2.0008	0.5327006
2.0005	0.5326905
1.9991	0.5326905
2.001	0.5327049
1.9992	0.5327049
2.0003	0.5326979
2	0.5326979
1.9991	0.5326935
2.0004	0.5326935
2	0.5326979
1.9989	0.5326908
2.0008	0.5326908
1.9997	0.532703
1.999	0.532703
2.0008	0.5327036
1.9997	0.5327036
1.9989	0.5326861
2.001	0.5326861
2.0001	0.5327006
1.9989	0.5327006
2.0006	0.5327104
1.9998	0.5327104
1.999	0.5327003
2.001	0.532702
1.9994	0.532702
1.9988	0.5326965
2.0011	0.5326965
1.9993	0.5327069
2.0007	0.5327069
2.0006	0.5327072
1.9989	0.5327072
2.0004	0.5327014
2.0002	0.5327014
1.999	0.5327006
2.0006	0.5327006
2.0005	0.5327126
1.9992	0.5327126
2.0005	0.5327058
2	0.5327033
1.999	0.5327033
1.9995	0.5327006
2.0012	0.5327006
1.999	0.5327006
2.0005	0.5327006
1.9999	0.5327039
1.9989	0.5327039
2.0007	0.5327123
2.0013	0.5327123
1.9994	0.5327123
2	0.5327123
2.0008	0.5326995
1.9992	0.5326995
1.9994	0.5326943
2.0013	0.5327072
1.9989	0.5327072
2.0004	0.5326949
2.0007	0.5326949
1.9989	0.5326913
2.0011	0.5326913
1.9998	0.5326995
1.9988	0.5326995
2.001	0.532697
1.9996	0.532697
2.0001	0.5327044
2.0011	0.5327044
1.9991	0.5327028
1.9997	0.5327028
2.0009	0.5327137
1.9991	0.5326927
2.0006	0.5326927
2.0007	0.5327101
1.9988	0.5327101
2.0008	0.5326995
1.9995	0.5326995
1.9991	0.5327074
2.001	0.5327074
1.9994	0.5327088
2.0004	0.5327088
2.0012	0.5326982
1.9989	0.5327096
2.0002	0.5327096
2.0001	0.5327118
1.9987	0.5327118
2.0007	0.5326872
2.0007	0.5326872
1.9991	0.5327139
2.0007	0.5327139
2.0004	0.5326848
